日期,ETF,代號,今日張數
2026-07-15,00403A,2345,2100
2026-07-15,00403A,2308,2530
2026-07-15,00403A,3711,5900
2026-07-15,00981A,6515,204
2026-07-15,00403A,2383,1140
2026-07-15,00403A,2368,2750
2026-07-15,00403A,8996,1600
2026-07-15,00403A,6488,2250
2026-07-15,00403A,3189,3217
2026-07-15,00403A,1303,9900
2026-07-15,00403A,3037,7064
2026-07-15,00403A,8046,1750
2026-07-15,00403A,3533,1240
2026-07-15,00403A,3211,1800
2026-07-15,00403A,6415,900
2026-07-15,00403A,3653,780
2026-07-15,00403A,2360,540
2026-07-15,00403A,2454,1600
2026-07-15,00403A,2337,10000
2026-07-15,00403A,2317,3200
2026-07-15,00403A,3443,480
2026-07-15,00403A,6805,570
2026-07-15,00403A,1560,1000
2026-07-15,00403A,4966,800
2026-07-15,00403A,7769,279
2026-07-15,00403A,3665,250
2026-07-15,00403A,6223,1000
2026-07-15,00403A,5274,80
2026-07-15,00403A,6442,300
2026-07-15,00403A,8358,1750
2026-07-15,00403A,2049,1010
2026-07-15,00403A,6239,900
2026-07-15,00403A,2455,450
2026-07-15,00403A,6669,790
2026-07-15,00403A,3264,600
2026-07-15,00403A,4958,6940
2026-07-15,00403A,3583,900
2026-07-16,00403A,8046,1750
2026-07-16,00981A,6805,1811
2026-07-16,00403A,2317,3200
2026-07-16,00403A,3189,3217
2026-07-16,00403A,6669,790
2026-07-16,00403A,2455,450
2026-07-16,00403A,3711,6150
2026-07-16,00403A,3443,480
2026-07-16,00403A,6488,2250
2026-07-16,00403A,6274,1700
2026-07-16,00403A,7769,279
2026-07-16,00403A,4958,6940
2026-07-16,00403A,2344,40000
2026-07-16,00403A,2345,2100
2026-07-16,00403A,2308,2600
2026-07-16,00403A,1303,9900
2026-07-16,00403A,2383,1140
2026-07-16,00403A,6223,1000
2026-07-16,00403A,1560,750
2026-07-16,00403A,3653,780
2026-07-16,00403A,3665,300
2026-07-16,00403A,8996,1600
2026-07-16,00403A,4966,800
2026-07-16,00403A,3008,60
2026-07-16,00403A,2368,2750
2026-07-16,00403A,8358,1750
2026-07-16,00403A,6239,900
2026-07-16,00403A,2049,1010
2026-07-16,00403A,3583,900
2026-07-16,00403A,6415,900
2026-07-16,00403A,6805,570
2026-07-16,00403A,2360,680
2026-07-16,00403A,3211,1800
2026-07-16,00403A,5274,94
2026-07-16,00403A,6515,200
2026-07-16,00403A,2337,10000
2026-07-16,00403A,3533,1240
2026-07-16,00403A,6442,300
2026-07-16,00981A,3665,4834
2026-07-16,00403A,2454,1600
2026-07-16,00981A,6278,4334
2026-07-16,00981A,6191,3988
2026-07-16,00403A,3264,600
2026-07-16,00981A,3711,16135
2026-07-16,00981A,6510,349
2026-07-16,00981A,6669,2417
2026-07-16,00981A,8046,9519
2026-07-16,00981A,2345,6334
